hotel_id,hotel_name,hotel_img
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983793_4a4e71782e9a9c5b4995ec45dc29ea0a.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983798_cf0128b4c2d46a111743b0b9d7f9e085.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983804_5304c811f6a1c78c7acf18e634f3131d.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983813_1379d47cd1d2f7aecf5ce30c2dc62e98.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983818_cc2abcee5a0553525d4a21501c12cafc.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983824_d5b4f7d44df2c816c14192a8f9376cd4.jpg
40,BoBInn 小熊酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/344_1667983829_c3cdc4ea56812a3538a0620241b2c1a7.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162263_0cf301ec2f14b95732685b92e61a0a07.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162264_d9ecbf46e1bbdb0a7f6a3efeb2abcae3.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162264_284cc0c4d4bd6d38d553ac02915b103c.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162265_6b1313ee8dd477caed35a90e768f3c8f.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162265_bbc98a933d2c0f2b4e8929d9a88f4522.jpg
41,香港怡家酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1680162266_a1aa88c417a69269bd8d53cd2dfd8c95.jpg
41,香港住宿3,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1665261962_1d4823ff6d47d58771fc1aeb81a8faf8.jpeg
41,香港住宿4,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1665261971_1a4e8196b0e16a63f6584ecf89a82219.jpeg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634006955_a52439a9b444703967e27feaf4a376e6.jpeg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/187_1632897356_d3fb5b3a60b2e0a764018a1c49217337.jpg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/187_1632897364_b4494ffad7521e6e3ee103440cab9093.jpg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/187_1633704271_643206f4258c259808d73a5f82cd34c5.jpeg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/187_1634012218_853faa074888f81b98ba9f5ec524d3c8.jpg
42,銀宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/187_1633704316_6a080821ad95a68cc78e23d32344c9d7.jpeg
43,新漢宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1632898967_0e41d820144938c3fa411173213bce77.jpg
43,新漢宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/189_1632898981_1558659839ec082831ec84dd41b59c12.jpg
43,新漢宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/189_1632898987_1283d06dae0a9ca00f54418aa27e8584.jpg
43,新漢宮酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/189_1632898995_844f83d6e23c79afdc0ff5476e6668ed.jpg
44,新明苑賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1632971021_b04d36b8952e95a3a07b4ef59891a134.jpg
44,新明苑賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/193_1632971032_c97db1051a77756e9ff5631a205eff39.jpg
44,新明苑賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/193_1632971038_3c551f6c775ea2abd790413b018becb4.jpg
45,樂宮別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1632972596_eccbc87e4b5ce2fe28308fd9f2a7baf3.jpg
45,樂宮別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/194_1632972621_f664dcf3945a7ad697c932429b7edf24.jpg
45,樂宮別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/194_1632972692_b04d36b8952e95a3a07b4ef59891a134.jpg
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1632979259_d8aeb6b1778abd04f1224a2fcb8303ec.jpg
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/195_1632979584_590a46c3c916109cf548fd06a27ebc55.jpg
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/195_1632979656_be8113d876b85b8bc8087a93603b71aa.jpg
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/195_1632979670_30d776e5d92858892bad3b1a9e0e6f5c.jpg
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/195_1632979695_5e1f3bbe4ac11b7e6f18a2d855192d33.jpg
