name,address,district,phone,profile_pic,description,user_id,google_map_address
豪景賓館,九龍深水福榮街45號1字樓A及B室,深水埗,27783712,https://iopenroom.com//web/upload/1633337323_6ee44b90fc4adbcf5a766996c818f7bb.jpg,豪景賓館 ( Good View GuestHouse ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.63267787689!2d114.16282217495579!3d22.32972757966553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400b50363ec99%3A0x899f43b4e7fc40a2!2z6LGq5pmv6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130888002!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
金源賓館,九龍深水埗福華街77號1字樓,深水埗,2777 7372,https://iopenroom.com//web/upload/1633338054_6f517bb51dca14ff281fb764307086f9.jpg,金源賓館 ( Golden Source ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.642085925963!2d114.1623790749557!3d22.329371979665705!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400b500f0ce7b%3A0x6b7799e064cefb81!2z6YeR5rqQ6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130913819!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
怡達賓館,九龍深水埗大南街270號1字樓,深水埗,23042256,https://iopenroom.com//web/upload/1633338863_668ee1a148a8ce63530e80a7a7a5c351.jpg,怡達賓館 ( Yi Tak Guest House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.664547200521!2d114.15916357495574!3d22.328522979666367!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400b38a81de37%3A0x6b0ad505cd5f53ca!2z5oCh6YGU6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130942530!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
好運賓館,九龍深水埗桂林街119號2樓,深水埗,2346 1098,https://iopenroom.com//web/upload/1633339793_105da15acf1686d0d9142e4995e126f1.jpg,好運賓館 ( Lucky Hostel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.6150545992746!2d114.15847517495577!3d22.33039367966497!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340401178668af2d%3A0x19c2a3bc247da89d!2z5aW96YGL6LOT6aSo!5e0!3m2!1szh-TW!2shk!4v1686130955779!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
海洋賓館,九龍長沙灣青山道250號1字樓前座,深水埗,23605005,https://iopenroom.com//web/upload/1633340432_8107e0f070d1c3b5fbd6bd7044b98079.jpg,海洋賓館 ( Hoi Yeung Villa ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14761.714810249681!2d114.13877858715821!3d22.337435999999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404074dc7ae520f%3A0xdccb5f9d3e50f017!2z5rW35rSL5Yil5aKF!5e0!3m2!1szh-TW!2shk!4v1686131002209!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
金屋酒店,九龍塘施他佛道23號,九龍塘,2337 4221,https://iopenroom.com//web/upload/1633411546_e1be7960917ad42389b37b7655b574ec.jpg,"麻雀雖小，五臟俱全
裝修簡單潔淨，房內設施齊全
不單止近九龍塘MTR , 仲設有免費停車場
（車位有限，先到先得）",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.569225392724!2d114.17520857495579!3d22.332125779663738!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040732f208c247%3A0xd80991d1c26b8624!2z6YeR5bGL6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686131029781!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
禮尚酒店,九龍塘雅息士道3號,九龍塘,2338 6222,https://iopenroom.com//web/upload/1633413974_117d85b0b55b15d0b20cb2503d76ecbc.jpg,"異國風酒店正式改名為「禮尚酒店」。
每間房仿效不同國家的特式而設計，令住客有如置身於不同國家一樣，帶給住客有到異地旅遊相同的享受和relax 的感覺。酒店內還有日本、泰國、英國等設計, 房內設備齊全，有無線上網，豐富電視節目等 ，亦提供小食及飲品。而浴室亦安裝了大型按摩浴缸及按摩花灑等。",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d14762.276938161544!2d114.16748374694927!3d22.33212543394356!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400cd10057edf%3A0x2a368cddfb03cede!2z55Ww5ZyL6aKo57K-5ZOB6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686131061680!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
明珠時鐘酒店,荃灣川龍街74號貴生樓1字樓,荃灣,23355309,https://iopenroom.com//web/upload/1632817672_4af52202f77beb11ba59ce2056aa7878.jpg,明珠時鐘酒店 ( Pearl Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d59032.74283334439!2d114.03983834863281!3d22.370749000000007!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8edb4087be5%3A0x93b4bcb76c2f1394!2z5piO54-g5pmC6ZCY6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686131092653!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
環球時鐘酒店,荃灣沙咀道207-211號華成樓A座1字樓B室,荃灣,37554599,https://iopenroom.com//web/upload/1632816998_90f0c4e67805f0c9a7ac71f2442c85eb.jpg,環球時鐘酒店 ( Global World Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3689.545213778672!2d114.11245507495711!3d22.370794779636018!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8edcd9efacf%3A0x3c4c83262c7aa356!2z55Kw55CD5pmC6ZCY6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686131109788!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
銀都酒店,荃灣禾笛街23-25號1/F,荃灣,24162633,https://iopenroom.com//web/upload/1632815536_b5639b56e5212ce232048220e869ec2f.jpg,銀都酒店 ( Ngan Tou Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d118065.464545343!2d114.03262802885476!3d22.370773904281833!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8ec26c0aa55%3A0xe0e475d6a3de42c2!2z6YqA6YO96YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686131137352!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
