name,address,district,phone,profile_pic,description,user_id,google_map_address
豪景賓館,九龍深水福榮街45號1字樓A及B室,深水埗,27783712,https://iopenroom.com//web/upload/1633337323_6ee44b90fc4adbcf5a766996c818f7bb.jpg,豪景賓館 ( Good View GuestHouse ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.7301047411712!2d114.2091241!3d22.290045!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010e75a786f1%3A0x32cb805620180094!2sMansion%20Building!5e0!3m2!1sen!2shk!4v1686017671475!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
金源賓館,九龍深水埗福華街77號1字樓,深水埗,2777 7372,https://iopenroom.com//web/upload/1633338054_6f517bb51dca14ff281fb764307086f9.jpg,金源賓館 ( Golden Source ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.6768608573298!2d114.19690569999999!3d22.290227299999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010385af4be5%3A0x93c1914fa76aeb78!2sThe%20Prince%20Apartment!5e0!3m2!1sen!2shk!4v1686017149123!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
怡達賓館,九龍深水埗大南街270號1字樓,深水埗,23042256,https://iopenroom.com//web/upload/1633338863_668ee1a148a8ce63530e80a7a7a5c351.jpg,怡達賓館 ( Yi Tak Guest House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.8413183428315!2d114.15363699999999!3d22.284!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404007c48f40b09%3A0x843918d775b08759!2sMingle%20At%20The%20Eden!5e0!3m2!1sen!2shk!4v1686017058989!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
好運賓館,九龍深水埗桂林街119號2樓,深水埗,2346 1098,https://iopenroom.com//web/upload/1633339793_105da15acf1686d0d9142e4995e126f1.jpg,好運賓館 ( Lucky Hostel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.6189089478225!2d114.176868!3d22.330247999999997!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x34040732d49a313b%3A0x8d6fe144a0a6790c!2sPersonage%20Hotel!5e0!3m2!1sen!2shk!4v1686017165954!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
海洋賓館,九龍長沙灣青山道250號1字樓前座,深水埗,23605005,https://iopenroom.com//web/upload/1633340432_8107e0f070d1c3b5fbd6bd7044b98079.jpg,海洋賓館 ( Hoi Yeung Villa ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3689.5607655090744!2d114.11333431495585!3d22.370207985287227!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8ec3430b4fb%3A0xff4074bb9e1b8fe7!2z5ZCN6YO96YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686017587748!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
金屋酒店,九龍塘施他佛道23號,九龍塘,2337 4221,https://iopenroom.com//web/upload/1633411546_e1be7960917ad42389b37b7655b574ec.jpg,"麻雀雖小，五臟俱全
裝修簡單潔淨，房內設施齊全
不單止近九龍塘MTR , 仲設有免費停車場
（車位有限，先到先得）",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.9900433242797!2d114.17296599999999!3d22.278367!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404005c7ac7e423%3A0x7a08e3e2e404f8ec!2sMing%20Court%20Hotel!5e0!3m2!1sen!2shk!4v1686017071905!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
禮尚酒店,九龍塘雅息士道3號,九龍塘,2338 6222,https://iopenroom.com//web/upload/1633413974_117d85b0b55b15d0b20cb2503d76ecbc.jpg,"異國風酒店正式改名為「禮尚酒店」。
每間房仿效不同國家的特式而設計，令住客有如置身於不同國家一樣，帶給住客有到異地旅遊相同的享受和relax 的感覺。酒店內還有日本、泰國、英國等設計, 房內設備齊全，有無線上網，豐富電視節目等 ，亦提供小食及飲品。而浴室亦安裝了大型按摩浴缸及按摩花灑等。",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d922.665898564374!2d114.162973!3d22.328559!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400b46942b573%3A0xdd07e3a3846f8bde!2sHo%20King%20Guest%20House!5e0!3m2!1sen!2shk!4v1686016347661!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
明珠時鐘酒店,荃灣川龍街74號貴生樓1字樓,荃灣,23355309,https://iopenroom.com//web/upload/1632817672_4af52202f77beb11ba59ce2056aa7878.jpg,明珠時鐘酒店 ( Pearl Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3690.615054061255!2d114.1610501!3d22.3303937!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340401178668af2d%3A0x19c2a3bc247da89d!2z5aW96YGL6LOT6aSo!5e0!3m2!1sen!2shk!4v1686016078720!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
環球時鐘酒店,荃灣沙咀道207-211號華成樓A座1字樓B室,荃灣,37554599,https://iopenroom.com//web/upload/1632816998_90f0c4e67805f0c9a7ac71f2442c85eb.jpg,環球時鐘酒店 ( Global World Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.6883890120008!2d114.1704377!3d22.3153018!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400c726686b99%3A0xec510842a1caf575!2sPak%20Hop%20Hotel!5e0!3m2!1sen!2shk!4v1686017412840!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
銀都酒店,荃灣禾笛街23-25號1/F,荃灣,24162633,https://iopenroom.com//web/upload/1632815536_b5639b56e5212ce232048220e869ec2f.jpg,銀都酒店 ( Ngan Tou Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.68948298520203!2d114.1670165!3d22.3146398!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400bf54f9276d%3A0xf8307e57fe05fc!2z55m-5L2z6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686016132918!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
