name,address,district,total_rooms,hourly_rate
心心賓館,新蒲崗衍慶街34-58號衍慶大廈B座2字樓5室,新蒲崗,12,80
富麗宮賓館,新蒲崗崇齡街80號如意樓1字樓,新蒲崗,16,82
美麗宮賓館,九龍新蒲崗崇齡街91&93號安強大樓1字樓,新蒲崗,14,100
雅仕賓館,土瓜灣道237號益豐大廈A座2字樓,土瓜灣,21,100
芝柏別墅,土瓜灣道237號益豐大廈A座1字樓201室,土瓜灣,27,100
益豐賓館,土瓜灣道237A號益豐大廈B座1字樓215-217室,土瓜灣,18,100
大埔賓館,大埔廣福道21-25號廣福大廈2字樓,大埔,25,290
上水酒店,新界上水新樂街3號1字樓,上水,12,180
名人酒店,香港九龍九龍塘金巴倫道37號地下,九龍塘,19,363
金碧輝煌酒店,鰂魚涌英皇道846號民新大廈1字樓A、B室,鰂魚涌,24,290
北角賓館,北角英皇道330-332號美都大廈2字樓A室,北角,24,180
美都旅館,北角英皇道330-332號美都大廈7字樓A室,北角,28,180
美輪賓館,北角書局街23號美輪大廈9字樓D室,北角,28,120
蜜月時租酒店,銅鑼灣利園山道70號鳳鳴大廈4字樓G&H室,銅鑼灣,13,130
喜來園別墅,銅鑼灣禮頓道42-56號禮智大廈1字樓,銅鑼灣,10,150
杏花小築,灣仔謝斐道404-406號文石大廈1字樓,灣仔,13,300
皇宮賓館,新界元朗合益路86-90號建益樓1字樓,元朗,26,150
漫春天精品酒店,九龍塘律倫街一號,九龍塘,16,418
明珠賓館,元州街66A號1字樓A&B室,深水埗,13,100
京華賓館(佐敦),九龍油麻地南京街19-21號2字樓,佐敦,18,140
雅仕賓館,九龍觀塘康寧道41號金僑華廈5字樓6&7室,觀塘,28,130
海景小築,新界元朗合益路92號-100號凱旋樓1字樓B室,元朗,25,150
新時代時鐘酒店,香港銅鑼灣利園山道70號鳳鳴大廈1樓,銅鑼灣,13,150
碧麗宮賓館,九龍觀塘康寧道41號金僑華廈2字樓1室,觀塘,11,130
香港比華利酒店,灣仔駱克道181號京城大廈4字樓,灣仔,27,200
小熊酒店,油麻地彌敦道578-580號恒隆大廈7字樓,旺角,29,220
新金碧賓館,荃灣楊屋道77號,荃灣,13,120
巴黎賓館,荃灣眾安街81號,荃灣,30,120
金巴利酒店,尖沙咀金巴利道18號香檳大廈1字樓,尖沙咀,24,280
荃旅店,荃灣四陂坊17號1-3樓,荃灣,21,120
龍湖賓館,元朗同樂街25-29號鴻福樓1字樓1室,元朗,27,330
大埔酒店,新界大埔運頭角里6號美楓大廈1字樓,大埔,22,330
維記 - 灣仔,灣仔駱克道209號,灣仔,23,100
金星賓館,深水埗鴨寮街252號1字樓A室,深水埗,12,150
麟源賓館 / 金泰(時鐘)酒店,旺角水渠道48號皇太子大廈1字樓,旺角,29,150
佳人別墅,九龍旺角洗衣街125號建煌華廈1字樓,旺角,24,422
根德小築,九龍塘根德道20號,九龍塘,29,80
高雅賓館,新蒲崗衍慶街34-58號衍慶大廈B座2字樓5室,新蒲崗,26,110
梅瑰園小築,九龍旺角洗衣街215號5字樓,旺角,24,150
翡翠別墅,銅鑼灣禮頓道44號禮智大廈1字樓,銅鑼灣,12,180
甜心時鐘酒店,香港銅鑼灣利園山道70號鳳鳴大廈6,銅鑼灣,20,210
中港酒店,尖沙咀白加士街1-11號康寧大廈1&2字樓,尖沙咀,11,150
百合酒店,油麻地彌敦道578-580號恒隆大廈5樓,旺角,26,200
積寓Jedinn,尖沙咀漆咸道南33-35號友聯大廈3樓E室,尖沙咀,27,120
皇都小築,荃灣沙咀道241號,荃灣,21,570
陶庭酒店,九龍塘羅福道10號,九龍塘,30,280
雲浦酒店,九龍深水埗荔枝角道149號3-4字樓,深水埗,13,120
京都小築,葵涌石蔭路79號金祿樓1字樓,葵涌,20,140
名都酒店,荃灣區沙咀道242-244號1樓,荃灣,26,200
炮台山7號酒店,北角英皇道294號五洲大廈後座3樓,北角,26,228
ROOMIE@尖沙咀,尖沙咀彌敦道83-97號華源大廈A座5樓A4室 (電梯按5字),尖沙咀,23,270
新金莎酒店,尖沙咀漆咸道南33-35號友聯大廈1字樓,尖沙咀,10,250
聖地,九龍佐敦德興街9-10號寶來大廈5字,尖沙咀,16,250
高爾時租酒店,旺角砵蘭街211號華美大廈B座3樓全層(朗豪坊側KFC對面),旺角,26,260
Sober Hotel Mong Kok,旺角通菜街123號,旺角,11,170
陽光酒店,九龍深水埗桂林街44號恒誠大廈2字樓A室,深水埗,21,228
Roomie@Mongkok (新興大廈店),旺角彌敦道607號新興大廈,旺角,21,220
幸福居,香港尖沙咀彌敦道66-70號金冠大廈9樓 A室,尖沙咀,23,288
日房居(時鐘酒店),香港魚鰂魚涌英皇道840-850號，民新大廈1樓,鰂魚涌,26,200
偉帆軒,香港尖沙咀彌敦道66-70號金冠大廈5樓G室,尖沙咀,22,428
太子Cozi星光體驗館,旺角花園街216-218號花園閣2樓A室,旺角,23,170
嘉湖實館,旺角洗衣街163號鴻德大廈2樓(近弼亍旺角東火車站),旺角,21,228
恋の星宿,尖沙咀彌敦道83號華源大厦B座8樓,尖沙咀,27,190
彩城賓館,油麻地碧41-49号碧蘭大樓2樓,油麻地,17,220
182 彌敦道,香港尖沙咀彌敦道182號,尖沙咀,16,160
漢宮別墅,元朗擊壤路7號鴻福樓2字樓A-B室,元朗,15,160
