2021-07-20,2134,123,21
2021-07-21,1857,134,28
2021-07-22,1551,153,20
2021-07-23,2180,169,32
2021-07-24,1743,147,25
2021-07-25,2729,177,25
2021-07-26,1336,110,14
2021-07-27,2329,130,22
2021-07-28,1934,122,19
2021-07-29,2026,189,36
2021-07-30,2304,146,33
2021-07-31,2196,171,19
2021-08-01,4093,213,36
2021-08-02,1937,169,26
2021-08-03,2582,183,33
2021-08-04,3412,176,17
2021-08-05,2382,152,23
2021-08-06,3913,176,29
2021-08-07,2771,224,27
2021-08-08,4806,223,28
2021-08-09,2309,174,34
2021-08-10,3673,207,56
2021-08-11,4249,192,36
2021-08-12,2787,218,34
2021-08-13,4320,204,37
2021-08-14,3112,211,38
2021-08-15,5484,207,36
2021-08-16,4622,332,27
2021-08-17,3775,255,42
2021-08-18,5048,234,67
2021-08-19,4154,260,98
2021-08-20,5811,258,68
2021-08-21,3452,234,36
2021-08-22,6022,329,30
2021-08-23,4064,297,34
2021-08-24,3819,329,34
2021-08-25,5494,318,39
2021-08-26,3855,313,29
2021-08-27,5499,255,51
2021-08-28,4724,311,44
2021-08-29,6460,345,36
2021-08-30,4516,457,26
2021-08-31,4641,379,50
2021-09-01,5328,358,34
2021-09-02,2909,217,40
2021-09-03,3721,188,47
2021-09-04,2761,228,43
2021-09-05,4710,285,43
2021-09-06,1795,169,28
2021-09-07,2012,173,37
2021-09-08,2981,130,35
2021-09-09,1760,120,55
2021-09-10,3638,132,61
2021-09-11,2084,142,39
2021-09-12,3810,106,39
2021-09-13,1575,68,32
2021-09-14,1898,54,44
2021-09-15,3083,279,53
2021-09-16,2243,264,67
2021-09-17,3773,275,49
2021-09-18,2830,336,60
2021-09-19,3853,328,48
2021-09-20,1562,227,33
2021-09-21,1425,125,50
2021-09-22,3033,230,57
2021-09-23,1979,217,66
2021-09-24,3737,243,54
2021-09-25,2067,280,70
2021-09-26,3958,238,53
2021-09-27,1604,162,37
2021-09-28,2239,239,60
2021-09-29,3629,273,44
2021-09-30,2600,276,61
2021-10-01,3523,162,50
2021-10-02,1475,227,59
2021-10-03,3818,232,55
2021-10-04,1351,181,50
2021-10-05,1230,110,41
2021-10-06,3237,151,49
2021-10-07,1349,132,38
2021-10-08,3097,170,56
2021-10-09,1086,232,43
2021-10-10,4297,279,77
2021-10-11,1512,171,39
2021-10-12,1319,219,32
2021-10-13,2909,212,63
2021-10-14,1617,233,75
2021-10-15,3155,205,45
2021-10-16,1926,211,56
2021-10-17,6049,258,71
2021-10-18,1521,191,52
2021-10-19,1444,176,38
2021-10-20,3549,193,70
2021-10-21,2634,165,36
2021-10-22,3570,185,52
2021-10-23,1478,202,62
2021-10-24,4059,262,71
2021-10-25,1497,205,68
2021-10-26,1454,212,49
2021-10-27,3878,214,52
2021-10-28,1448,152,50
2021-10-29,3448,171,50
2021-10-30,1669,191,49
2021-10-31,3927,191,63
2021-11-01,1575,159,67
2021-11-02,1720,171,54
2021-11-03,3862,233,54
2021-11-04,1553,161,64
2021-11-05,3395,261,79
2021-11-06,1405,462,63
2021-11-07,3795,275,69
2021-11-08,1240,171,57
2021-11-09,1522,182,55
2021-11-10,3435,218,74
2021-11-11,1585,207,49
2021-11-12,3123,198,88
2021-11-13,1107,246,54
2021-11-14,5144,181,114
2021-11-15,1637,168,74
2021-11-16,1510,163,59
2021-11-17,3237,157,112
2021-11-18,2862,131,59
2021-11-19,3057,162,62
2021-11-20,1454,226,45
2021-11-21,4790,181,62
2021-11-22,1723,108,46
2021-11-23,1659,152,51
2021-11-24,3578,129,79
2021-11-25,3228,168,67
2021-11-26,3500,148,61
2021-11-27,1468,176,56
2021-11-28,5243,190,54
2021-11-29,1286,137,33
