,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
0,01-01-2021,Airport,Arrival,341,0,9,350
2,01-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
4,01-01-2021,Hung Hom,Arrival,0,0,0,0
6,01-01-2021,Lo Wu,Arrival,0,0,0,0
8,01-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
10,01-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
12,01-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,45,2,0,47
14,01-01-2021,Lok Ma Chau,Arrival,0,0,0,0
16,01-01-2021,Man Kam To,Arrival,0,0,0,0
18,01-01-2021,Sha Tau Kok,Arrival,0,0,0,0
20,01-01-2021,Shenzhen Bay,Arrival,346,43,1,390
22,01-01-2021,China Ferry Terminal,Arrival,0,0,0,0
24,01-01-2021,Harbour Control,Arrival,0,0,0,0
26,01-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
28,01-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
30,01-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
32,02-01-2021,Airport,Arrival,363,10,10,383
34,02-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
36,02-01-2021,Hung Hom,Arrival,0,0,0,0
38,02-01-2021,Lo Wu,Arrival,0,0,0,0
40,02-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
42,02-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
44,02-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,37,1,0,38
46,02-01-2021,Lok Ma Chau,Arrival,0,0,0,0
48,02-01-2021,Man Kam To,Arrival,0,0,0,0
50,02-01-2021,Sha Tau Kok,Arrival,0,0,0,0
52,02-01-2021,Shenzhen Bay,Arrival,542,67,2,611
54,02-01-2021,China Ferry Terminal,Arrival,0,0,0,0
56,02-01-2021,Harbour Control,Arrival,0,0,0,0
58,02-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
60,02-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
62,02-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
64,03-01-2021,Airport,Arrival,880,4,36,920
66,03-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
68,03-01-2021,Hung Hom,Arrival,0,0,0,0
70,03-01-2021,Lo Wu,Arrival,0,0,0,0
72,03-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
74,03-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
76,03-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,92,0,3,95
78,03-01-2021,Lok Ma Chau,Arrival,0,0,0,0
80,03-01-2021,Man Kam To,Arrival,0,0,0,0
82,03-01-2021,Sha Tau Kok,Arrival,0,0,0,0
84,03-01-2021,Shenzhen Bay,Arrival,798,38,2,838
86,03-01-2021,China Ferry Terminal,Arrival,0,0,0,0
88,03-01-2021,Harbour Control,Arrival,0,0,0,0
90,03-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
92,03-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
94,03-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
96,04-01-2021,Airport,Arrival,445,1,12,458
98,04-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
100,04-01-2021,Hung Hom,Arrival,0,0,0,0
102,04-01-2021,Lo Wu,Arrival,0,0,0,0
104,04-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
106,04-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
108,04-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,166,3,2,171
110,04-01-2021,Lok Ma Chau,Arrival,0,0,0,0
112,04-01-2021,Man Kam To,Arrival,0,0,0,0
114,04-01-2021,Sha Tau Kok,Arrival,0,0,0,0
116,04-01-2021,Shenzhen Bay,Arrival,1311,64,2,1377
118,04-01-2021,China Ferry Terminal,Arrival,0,0,0,0
120,04-01-2021,Harbour Control,Arrival,0,0,0,0
122,04-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
124,04-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
126,04-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
128,05-01-2021,Airport,Arrival,534,2,17,553
130,05-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
132,05-01-2021,Hung Hom,Arrival,0,0,0,0
134,05-01-2021,Lo Wu,Arrival,0,0,0,0
136,05-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
138,05-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
140,05-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,86,3,4,93
142,05-01-2021,Lok Ma Chau,Arrival,0,0,0,0
144,05-01-2021,Man Kam To,Arrival,0,0,0,0
146,05-01-2021,Sha Tau Kok,Arrival,0,0,0,0
148,05-01-2021,Shenzhen Bay,Arrival,703,69,1,773
150,05-01-2021,China Ferry Terminal,Arrival,0,0,0,0
152,05-01-2021,Harbour Control,Arrival,0,0,0,0
154,05-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
156,05-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
158,05-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
160,06-01-2021,Airport,Arrival,591,2,17,610
162,06-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
164,06-01-2021,Hung Hom,Arrival,0,0,0,0
166,06-01-2021,Lo Wu,Arrival,0,0,0,0
168,06-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
170,06-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
172,06-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,94,3,2,99
174,06-01-2021,Lok Ma Chau,Arrival,0,0,0,0
176,06-01-2021,Man Kam To,Arrival,0,0,0,0
178,06-01-2021,Sha Tau Kok,Arrival,0,0,0,0
180,06-01-2021,Shenzhen Bay,Arrival,691,59,1,751
182,06-01-2021,China Ferry Terminal,Arrival,0,0,0,0
184,06-01-2021,Harbour Control,Arrival,0,0,0,0
186,06-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
188,06-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
190,06-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
192,07-01-2021,Airport,Arrival,666,7,23,696
194,07-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
196,07-01-2021,Hung Hom,Arrival,0,0,0,0
198,07-01-2021,Lo Wu,Arrival,0,0,0,0
200,07-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
202,07-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
204,07-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,53,0,7,60
206,07-01-2021,Lok Ma Chau,Arrival,0,0,0,0
208,07-01-2021,Man Kam To,Arrival,0,0,0,0
210,07-01-2021,Sha Tau Kok,Arrival,0,0,0,0
212,07-01-2021,Shenzhen Bay,Arrival,517,53,2,572
214,07-01-2021,China Ferry Terminal,Arrival,0,0,0,0
216,07-01-2021,Harbour Control,Arrival,0,0,0,0
218,07-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
220,07-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
222,07-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
224,08-01-2021,Airport,Arrival,661,1,26,688
226,08-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
228,08-01-2021,Hung Hom,Arrival,0,0,0,0
230,08-01-2021,Lo Wu,Arrival,0,0,0,0
232,08-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
234,08-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
236,08-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,90,3,0,93
238,08-01-2021,Lok Ma Chau,Arrival,0,0,0,0
240,08-01-2021,Man Kam To,Arrival,0,0,0,0
242,08-01-2021,Sha Tau Kok,Arrival,0,0,0,0
244,08-01-2021,Shenzhen Bay,Arrival,669,80,4,753
246,08-01-2021,China Ferry Terminal,Arrival,0,0,0,0
248,08-01-2021,Harbour Control,Arrival,0,0,0,0
250,08-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
252,08-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
254,08-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
256,09-01-2021,Airport,Arrival,653,11,6,670
258,09-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
260,09-01-2021,Hung Hom,Arrival,0,0,0,0
262,09-01-2021,Lo Wu,Arrival,0,0,0,0
264,09-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
266,09-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
268,09-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,65,3,5,73
270,09-01-2021,Lok Ma Chau,Arrival,0,0,0,0
272,09-01-2021,Man Kam To,Arrival,0,0,0,0
274,09-01-2021,Sha Tau Kok,Arrival,0,0,0,0
276,09-01-2021,Shenzhen Bay,Arrival,605,92,1,698
278,09-01-2021,China Ferry Terminal,Arrival,0,0,0,0
280,09-01-2021,Harbour Control,Arrival,0,0,0,0
282,09-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
284,09-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
286,09-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
288,10-01-2021,Airport,Arrival,912,6,19,937
290,10-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
292,10-01-2021,Hung Hom,Arrival,0,0,0,0
294,10-01-2021,Lo Wu,Arrival,0,0,0,0
296,10-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
298,10-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
300,10-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,99,3,5,107
302,10-01-2021,Lok Ma Chau,Arrival,0,0,0,0
304,10-01-2021,Man Kam To,Arrival,0,0,0,0
306,10-01-2021,Sha Tau Kok,Arrival,0,0,0,0
308,10-01-2021,Shenzhen Bay,Arrival,788,90,1,879
310,10-01-2021,China Ferry Terminal,Arrival,0,0,0,0
312,10-01-2021,Harbour Control,Arrival,0,0,0,0
314,10-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
316,10-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
318,10-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
320,11-01-2021,Airport,Arrival,306,0,12,318
322,11-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
324,11-01-2021,Hung Hom,Arrival,0,0,0,0
326,11-01-2021,Lo Wu,Arrival,0,0,0,0
328,11-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
330,11-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
332,11-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,214,3,3,220
334,11-01-2021,Lok Ma Chau,Arrival,0,0,0,0
336,11-01-2021,Man Kam To,Arrival,0,0,0,0
338,11-01-2021,Sha Tau Kok,Arrival,0,0,0,0
340,11-01-2021,Shenzhen Bay,Arrival,1382,69,0,1451
342,11-01-2021,China Ferry Terminal,Arrival,0,0,0,0
344,11-01-2021,Harbour Control,Arrival,0,0,0,0
346,11-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
348,11-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
350,11-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
352,12-01-2021,Airport,Arrival,436,3,13,452
354,12-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
356,12-01-2021,Hung Hom,Arrival,0,0,0,0
358,12-01-2021,Lo Wu,Arrival,0,0,0,0
360,12-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
362,12-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
364,12-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,70,3,1,74
366,12-01-2021,Lok Ma Chau,Arrival,0,0,0,0
368,12-01-2021,Man Kam To,Arrival,0,0,0,0
370,12-01-2021,Sha Tau Kok,Arrival,0,0,0,0
372,12-01-2021,Shenzhen Bay,Arrival,1065,56,1,1122
374,12-01-2021,China Ferry Terminal,Arrival,0,0,0,0
376,12-01-2021,Harbour Control,Arrival,0,0,0,0
378,12-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
380,12-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
382,12-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
384,13-01-2021,Airport,Arrival,388,1,14,403
386,13-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
388,13-01-2021,Hung Hom,Arrival,0,0,0,0
390,13-01-2021,Lo Wu,Arrival,0,0,0,0
392,13-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
394,13-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
396,13-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,75,2,3,80
398,13-01-2021,Lok Ma Chau,Arrival,0,0,0,0
400,13-01-2021,Man Kam To,Arrival,0,0,0,0
402,13-01-2021,Sha Tau Kok,Arrival,0,0,0,0
404,13-01-2021,Shenzhen Bay,Arrival,860,67,1,928
406,13-01-2021,China Ferry Terminal,Arrival,0,0,0,0
408,13-01-2021,Harbour Control,Arrival,0,0,0,0
410,13-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
412,13-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
414,13-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
416,14-01-2021,Airport,Arrival,431,2,13,446
418,14-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
420,14-01-2021,Hung Hom,Arrival,0,0,0,0
422,14-01-2021,Lo Wu,Arrival,0,0,0,0
424,14-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
426,14-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
428,14-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,76,2,3,81
430,14-01-2021,Lok Ma Chau,Arrival,0,0,0,0
432,14-01-2021,Man Kam To,Arrival,0,0,0,0
434,14-01-2021,Sha Tau Kok,Arrival,0,0,0,0
436,14-01-2021,Shenzhen Bay,Arrival,1040,56,1,1097
438,14-01-2021,China Ferry Terminal,Arrival,0,0,0,0
440,14-01-2021,Harbour Control,Arrival,0,0,0,0
442,14-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
444,14-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
446,14-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
448,15-01-2021,Airport,Arrival,532,1,30,563
450,15-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
452,15-01-2021,Hung Hom,Arrival,0,0,0,0
454,15-01-2021,Lo Wu,Arrival,0,0,0,0
456,15-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
458,15-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
460,15-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,103,3,5,111
462,15-01-2021,Lok Ma Chau,Arrival,0,0,0,0
464,15-01-2021,Man Kam To,Arrival,0,0,0,0
466,15-01-2021,Sha Tau Kok,Arrival,0,0,0,0
468,15-01-2021,Shenzhen Bay,Arrival,1190,79,2,1271
470,15-01-2021,China Ferry Terminal,Arrival,0,0,0,0
472,15-01-2021,Harbour Control,Arrival,0,0,0,0
474,15-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
476,15-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
478,15-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
480,16-01-2021,Airport,Arrival,525,10,25,560
482,16-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
484,16-01-2021,Hung Hom,Arrival,0,0,0,0
486,16-01-2021,Lo Wu,Arrival,0,0,0,0
488,16-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
490,16-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
492,16-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,93,3,8,104
494,16-01-2021,Lok Ma Chau,Arrival,0,0,0,0
496,16-01-2021,Man Kam To,Arrival,0,0,0,0
498,16-01-2021,Sha Tau Kok,Arrival,0,0,0,0
500,16-01-2021,Shenzhen Bay,Arrival,965,128,1,1094
502,16-01-2021,China Ferry Terminal,Arrival,0,0,0,0
504,16-01-2021,Harbour Control,Arrival,0,0,0,0
506,16-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
508,16-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
510,16-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
512,17-01-2021,Airport,Arrival,642,4,29,675
514,17-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
516,17-01-2021,Hung Hom,Arrival,0,0,0,0
518,17-01-2021,Lo Wu,Arrival,0,0,0,0
520,17-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
522,17-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
524,17-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,93,5,2,100
526,17-01-2021,Lok Ma Chau,Arrival,0,0,0,0
528,17-01-2021,Man Kam To,Arrival,0,0,0,0
530,17-01-2021,Sha Tau Kok,Arrival,0,0,0,0
532,17-01-2021,Shenzhen Bay,Arrival,864,84,2,950
534,17-01-2021,China Ferry Terminal,Arrival,0,0,0,0
536,17-01-2021,Harbour Control,Arrival,0,0,0,0
538,17-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
540,17-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
542,17-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
544,18-01-2021,Airport,Arrival,337,1,8,346
546,18-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
548,18-01-2021,Hung Hom,Arrival,0,0,0,0
550,18-01-2021,Lo Wu,Arrival,0,0,0,0
552,18-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
554,18-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
556,18-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,151,4,4,159
558,18-01-2021,Lok Ma Chau,Arrival,0,0,0,0
560,18-01-2021,Man Kam To,Arrival,0,0,0,0
562,18-01-2021,Sha Tau Kok,Arrival,0,0,0,0
564,18-01-2021,Shenzhen Bay,Arrival,1350,79,1,1430
566,18-01-2021,China Ferry Terminal,Arrival,0,0,0,0
568,18-01-2021,Harbour Control,Arrival,0,0,0,0
570,18-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
572,18-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
574,18-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
576,19-01-2021,Airport,Arrival,488,3,15,506
578,19-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
580,19-01-2021,Hung Hom,Arrival,0,0,0,0
582,19-01-2021,Lo Wu,Arrival,0,0,0,0
584,19-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
586,19-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
588,19-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,87,4,13,104
590,19-01-2021,Lok Ma Chau,Arrival,0,0,0,0
592,19-01-2021,Man Kam To,Arrival,0,0,0,0
594,19-01-2021,Sha Tau Kok,Arrival,0,0,0,0
596,19-01-2021,Shenzhen Bay,Arrival,846,81,3,930
598,19-01-2021,China Ferry Terminal,Arrival,0,0,0,0
600,19-01-2021,Harbour Control,Arrival,0,0,0,0
602,19-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
604,19-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
606,19-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
608,20-01-2021,Airport,Arrival,538,2,11,551
610,20-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
612,20-01-2021,Hung Hom,Arrival,0,0,0,0
614,20-01-2021,Lo Wu,Arrival,0,0,0,0
616,20-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
618,20-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
620,20-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,113,7,8,128
622,20-01-2021,Lok Ma Chau,Arrival,0,0,0,0
624,20-01-2021,Man Kam To,Arrival,0,0,0,0
626,20-01-2021,Sha Tau Kok,Arrival,0,0,0,0
628,20-01-2021,Shenzhen Bay,Arrival,1054,88,2,1144
630,20-01-2021,China Ferry Terminal,Arrival,0,0,0,0
632,20-01-2021,Harbour Control,Arrival,0,0,0,0
634,20-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
636,20-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
638,20-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
640,21-01-2021,Airport,Arrival,392,5,18,415
642,21-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
644,21-01-2021,Hung Hom,Arrival,0,0,0,0
646,21-01-2021,Lo Wu,Arrival,0,0,0,0
648,21-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
650,21-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
652,21-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,100,3,5,108
654,21-01-2021,Lok Ma Chau,Arrival,0,0,0,0
656,21-01-2021,Man Kam To,Arrival,0,0,0,0
658,21-01-2021,Sha Tau Kok,Arrival,0,0,0,0
660,21-01-2021,Shenzhen Bay,Arrival,741,92,2,835
662,21-01-2021,China Ferry Terminal,Arrival,0,0,0,0
664,21-01-2021,Harbour Control,Arrival,0,0,0,0
666,21-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
668,21-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
670,21-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
672,22-01-2021,Airport,Arrival,453,1,12,466
674,22-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
676,22-01-2021,Hung Hom,Arrival,0,0,0,0
678,22-01-2021,Lo Wu,Arrival,0,0,0,0
680,22-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
682,22-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
684,22-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,91,6,9,106
686,22-01-2021,Lok Ma Chau,Arrival,0,0,0,0
688,22-01-2021,Man Kam To,Arrival,0,0,0,0
690,22-01-2021,Sha Tau Kok,Arrival,0,0,0,0
692,22-01-2021,Shenzhen Bay,Arrival,1058,76,5,1139
694,22-01-2021,China Ferry Terminal,Arrival,0,0,0,0
696,22-01-2021,Harbour Control,Arrival,0,0,0,0
698,22-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
700,22-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
702,22-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
704,23-01-2021,Airport,Arrival,466,11,21,498
706,23-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
708,23-01-2021,Hung Hom,Arrival,0,0,0,0
710,23-01-2021,Lo Wu,Arrival,0,0,0,0
712,23-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
714,23-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
716,23-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,103,2,3,108
718,23-01-2021,Lok Ma Chau,Arrival,0,0,0,0
720,23-01-2021,Man Kam To,Arrival,0,0,0,0
722,23-01-2021,Sha Tau Kok,Arrival,0,0,0,0
724,23-01-2021,Shenzhen Bay,Arrival,1101,108,5,1214
726,23-01-2021,China Ferry Terminal,Arrival,0,0,0,0
728,23-01-2021,Harbour Control,Arrival,0,0,0,0
730,23-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
732,23-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
734,23-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
736,24-01-2021,Airport,Arrival,660,5,32,697
738,24-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
740,24-01-2021,Hung Hom,Arrival,0,0,0,0
742,24-01-2021,Lo Wu,Arrival,0,0,0,0
744,24-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
746,24-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
748,24-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,123,8,2,133
750,24-01-2021,Lok Ma Chau,Arrival,0,0,0,0
752,24-01-2021,Man Kam To,Arrival,0,0,0,0
754,24-01-2021,Sha Tau Kok,Arrival,0,0,0,0
756,24-01-2021,Shenzhen Bay,Arrival,1109,126,4,1239
758,24-01-2021,China Ferry Terminal,Arrival,0,0,0,0
760,24-01-2021,Harbour Control,Arrival,0,0,0,0
762,24-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
764,24-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
766,24-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
768,25-01-2021,Airport,Arrival,362,0,8,370
770,25-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
772,25-01-2021,Hung Hom,Arrival,0,0,0,0
774,25-01-2021,Lo Wu,Arrival,0,0,0,0
776,25-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
778,25-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
780,25-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,75,5,5,85
782,25-01-2021,Lok Ma Chau,Arrival,0,0,0,0
784,25-01-2021,Man Kam To,Arrival,0,0,0,0
786,25-01-2021,Sha Tau Kok,Arrival,0,0,0,0
788,25-01-2021,Shenzhen Bay,Arrival,889,86,4,979
790,25-01-2021,China Ferry Terminal,Arrival,0,0,0,0
792,25-01-2021,Harbour Control,Arrival,0,0,0,0
794,25-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
796,25-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
798,25-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
800,26-01-2021,Airport,Arrival,496,3,10,509
802,26-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
804,26-01-2021,Hung Hom,Arrival,0,0,0,0
806,26-01-2021,Lo Wu,Arrival,0,0,0,0
808,26-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
810,26-01-2021,Heung Yuen Wai,Arrival,0,0,0,0
812,26-01-2021,Hong Kong-Zhuhai-Macao Bridge,Arrival,115,1,2,118
814,26-01-2021,Lok Ma Chau,Arrival,0,0,0,0
816,26-01-2021,Man Kam To,Arrival,0,0,0,0
818,26-01-2021,Sha Tau Kok,Arrival,0,0,0,0
820,26-01-2021,Shenzhen Bay,Arrival,871,89,1,961
822,26-01-2021,China Ferry Terminal,Arrival,0,0,0,0
824,26-01-2021,Harbour Control,Arrival,0,0,0,0
826,26-01-2021,Kai Tak Cruise Terminal,Arrival,0,0,0,0
828,26-01-2021,Macau Ferry Terminal,Arrival,0,0,0,0
830,26-01-2021,Tuen Mun Ferry Terminal,Arrival,0,0,0,0
832,27-01-2021,Airport,Arrival,591,2,16,609
834,27-01-2021,Express Rail Link West Kowloon,Arrival,0,0,0,0
836,27-01-2021,Hung Hom,Arrival,0,0,0,0
838,27-01-2021,Lo Wu,Arrival,0,0,0,0
840,27-01-2021,Lok Ma Chau Spur Line,Arrival,0,0,0,0
