,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
22376,21-12-2022,Airport,Arrival,12618,1766,3363,17747
22378,21-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22380,21-12-2022,Hung Hom,Arrival,0,0,0,0
22382,21-12-2022,Lo Wu,Arrival,0,0,0,0
22384,21-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22386,21-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22388,21-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,339,47,127,513
22390,21-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22392,21-12-2022,Man Kam To,Arrival,0,0,0,0
22394,21-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22396,21-12-2022,Shenzhen Bay,Arrival,1553,256,93,1902
22398,21-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22400,21-12-2022,Harbour Control,Arrival,0,0,0,0
22402,21-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22404,21-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22406,22-12-2022,Airport,Arrival,13324,2217,3673,19214
22408,22-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22410,22-12-2022,Hung Hom,Arrival,0,0,0,0
22412,22-12-2022,Lo Wu,Arrival,0,0,0,0
22414,22-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22416,22-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22418,22-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,326,36,139,501
22420,22-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22422,22-12-2022,Man Kam To,Arrival,0,0,0,0
22424,22-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22426,22-12-2022,Shenzhen Bay,Arrival,1326,279,93,1698
22428,22-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22430,22-12-2022,Harbour Control,Arrival,0,0,0,0
22432,22-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22434,22-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22436,23-12-2022,Airport,Arrival,12280,1922,3800,18002
22438,23-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22440,23-12-2022,Hung Hom,Arrival,0,0,0,0
22442,23-12-2022,Lo Wu,Arrival,0,0,0,0
22444,23-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22446,23-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22448,23-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,338,47,128,513
22450,23-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22452,23-12-2022,Man Kam To,Arrival,0,0,0,0
22454,23-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22456,23-12-2022,Shenzhen Bay,Arrival,1463,299,80,1842
22458,23-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22460,23-12-2022,Harbour Control,Arrival,0,0,0,0
22462,23-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22464,23-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22466,24-12-2022,Airport,Arrival,12545,1894,4034,18473
22468,24-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22470,24-12-2022,Hung Hom,Arrival,0,0,0,0
22472,24-12-2022,Lo Wu,Arrival,0,0,0,0
22474,24-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22476,24-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22478,24-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,430,66,143,639
22480,24-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22482,24-12-2022,Man Kam To,Arrival,0,0,0,0
22484,24-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22486,24-12-2022,Shenzhen Bay,Arrival,1298,308,114,1720
22488,24-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22490,24-12-2022,Harbour Control,Arrival,0,0,0,0
22492,24-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22494,24-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22496,25-12-2022,Airport,Arrival,13394,2463,3231,19088
22498,25-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22500,25-12-2022,Hung Hom,Arrival,0,0,0,0
22502,25-12-2022,Lo Wu,Arrival,0,0,0,0
22504,25-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22506,25-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22508,25-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,506,78,149,733
22510,25-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22512,25-12-2022,Man Kam To,Arrival,0,0,0,0
22514,25-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22516,25-12-2022,Shenzhen Bay,Arrival,1099,251,112,1462
22518,25-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22520,25-12-2022,Harbour Control,Arrival,0,0,0,0
22522,25-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22524,25-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22526,26-12-2022,Airport,Arrival,14586,2247,3158,19991
22528,26-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22530,26-12-2022,Hung Hom,Arrival,0,0,0,0
22532,26-12-2022,Lo Wu,Arrival,0,0,0,0
22534,26-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22536,26-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22538,26-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,743,47,168,958
22540,26-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22542,26-12-2022,Man Kam To,Arrival,0,0,0,0
22544,26-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22546,26-12-2022,Shenzhen Bay,Arrival,1282,251,66,1599
22548,26-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22550,26-12-2022,Harbour Control,Arrival,0,0,0,0
22552,26-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22554,26-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
